username;tweet;fecha;anuncio;ubicacion;fecha_sola;sentimiento
Nerinapf;por favor la gente que esta en la calle y tiene un techo quedense en sus casas no jodan mas coronavirus;2020-03-19 23:58:22+00:00;Anuncio_1;Buenos Aires, Argentina;2020-03-19;
MileParamo;todxs sin coronavirus pero con hantavirus esa es tu agenda sabelo;2020-03-19 23:57:59+00:00;Anuncio_1;Buenos Aires, Argentina;2020-03-19;
Maiferretti;no puedo creer q sigan tomandose en joda lo del coronavirus y sigan paseando son tan tan egoistas se cagan en todo;2020-03-19 23:56:53+00:00;Anuncio_1;Buenos Aires, Argentina;2020-03-19;
Nerinapf;por lo que veo mucha gente no esta acostumbrada a estar un par de dias solos en sus casas es mucho tiempo para pensar en cosas que normalmente no piensan coronavirus;2020-03-19 23:56:14+00:00;Anuncio_1;Buenos Aires, Argentina;2020-03-19;
JulianObiglio;atencion gcba y presidenciaarg la comunidad de madrid lanzo una app para autoevaluacion y seguimiento de los casos de coronavirus herramienta que podria replicarse rapidamente aqui para ayudar a evitar el colapso del sistema de salud;2020-03-19 23:55:20+00:00;Anuncio_1;Buenos Aires, Argentina;2020-03-19;
CarlosEsnaola;tranqui camila bono ya saco un tema sobre el coronavirus;2020-03-19 23:53:37+00:00;Anuncio_1;Buenos Aires, Argentina;2020-03-19;
Yesii_Lo;bueno necesitamos que haya 1millon de muertos para alarmarnos porque la prevencion es una palabra q no dice nada porque es necesario luchar con el sarampion y tambien con el coronavirus porque es necesario colapsar los hospitales agotar a nuestros medicos necesitamos el 30;2020-03-19 23:52:58+00:00;Anuncio_1;Buenos Aires, Argentina;2020-03-19;
davito1972;me pareces un poco tonta te suena coronavirus;2020-03-19 23:49:08+00:00;Anuncio_1;Buenos Aires, Argentina;2020-03-19;
cgago88;en minutos arranca la conferencia de prensa de alferdez con los nuevas medidas para frenar el avance del coronavirus en la argentina escuchemos al presidente al msalnacion y a los especialistas planifiquemos con datos concretos no con histeria colectiva;2020-03-19 23:46:34+00:00;Anuncio_1;Buenos Aires, Argentina;2020-03-19;
agusguguslarram;toy boy toyboy netflix serie serienetflix viciandonetflix cuarentena cuartodiadecuarentena coronavirus apocalipsiscoronavirus en mataderos;2020-03-19 23:46:18+00:00;Anuncio_1;Buenos Aires, Argentina;2020-03-19;
anaarco36594394;todavia sale en la tele mier no penso q iba a llagar el coronavirus tan rapido si no hubieramos hecho despacio las comprastarde;2020-03-19 23:46:11+00:00;Anuncio_1;Buenos Aires, Argentina;2020-03-19;
gracifer242;el coronavirus son los k;2020-03-19 23:44:59+00:00;Anuncio_1;Buenos Aires, Argentina;2020-03-19;
Juliaan_Cam;el chino de mi barrio estaba enfierrado ya voy a tener coronavirus pero no me van a saquear dijo que hombre jajajaj;2020-03-19 23:44:41+00:00;Anuncio_1;Buenos Aires, Argentina;2020-03-19;
hclorenzo77;el hcd3f suspende todas sus actividades para evitar la propagacion del coronavirus podes ponerte en contacto x mail a secretariaparlamentariahcdtresdefebrerogovar quedateencasa somosresponsables alviruslofrenamosentretodos cuarentenatotal;2020-03-19 23:40:06+00:00;Anuncio_1;Buenos Aires, Argentina;2020-03-19;
priscibenitez15;justo cuando se estaba acomodando un poco mi vida llega el corona virus y hay cuarentena total no amigo si tengo una suerte;2020-03-19 23:39:45+00:00;Anuncio_1;Buenos Aires, Argentina;2020-03-19;
ferreyragerardo;en momentos dificiles pmuchos paises desarrollados debido al coronavirus es bueno recordar q en uno d los 2 paises q ayuda a los demas a evitar tantas muertescuba quien puso en marcha el plan d medicina familiar comunitariatan exitosofue un medico argentino ernesto guevara;2020-03-19 23:39:22+00:00;Anuncio_1;Buenos Aires, Argentina;2020-03-19;
akakapa70;tauro y coronavirus un solo corazon;2020-03-19 23:35:58+00:00;Anuncio_1;Buenos Aires, Argentina;2020-03-19;
dkobotero;el gobierno de argentina decreta oficialmente cuarentena obligatoria para todo el territorio nacional quedateentucasa coronavirus coronavirusargentina cuarentenatotal cuarentenaobligatoria pandemiadelcoronavirus;2020-03-19 23:35:00+00:00;Anuncio_1;Buenos Aires, Argentina;2020-03-19;
CARUBRAVOSAYS;cuanto tiempo dura el virus en distintas superficies coronavirus en martinez buenos aires;2020-03-19 23:34:03+00:00;Anuncio_1;Buenos Aires, Argentina;2020-03-19;
