username;tweet;fecha;anuncio;ubicacion;fecha_sola;sentimiento
matiasvidondo;la otra vez use uno que tenia que habia vencido en el 2017 veni coronavirus;2020-04-25 18:07:31+00:00;Anuncio_4;Rosario, Argentina;2020-04-25;
MarcosCarballo_;cinalli califico como muy extrano el caso positivo de coronavirus en bermudez via criteriosl;2020-04-25 17:20:44+00:00;Anuncio_4;Rosario, Argentina;2020-04-25;
PatriSf;majola mire bienen el centro me parecia ver el coronavirus;2020-04-25 17:17:34+00:00;Anuncio_4;Rosario, Argentina;2020-04-25;
nediazcarballo;si sos santafesino este dato te puede alegrar el fin de semana coronavirus santafe gobsantafe en rosario santa fe;2020-04-25 16:33:10+00:00;Anuncio_4;Rosario, Argentina;2020-04-25;
BeatrizSuarez_;si la cuarentena dura un mes mas que los funcionarios todos dejen de cobrar porque los impuestos no llegaron como correspondia al pueblo es facil desde detras de un escritorio decir no se trabaja el mundo cambio y el ejemplo es alemania nosolodemiedosevive coronavirus;2020-04-25 15:34:38+00:00;Anuncio_4;Rosario, Argentina;2020-04-25;
NachoPixel;asi desinfectaban anoche al personal policial de la comisaria 7ma ante un posible caso de coronavirus en una oficial coronavirusargentina sanlorenzo quedateencasa;2020-04-25 14:51:35+00:00;Anuncio_4;Rosario, Argentina;2020-04-25;
calu0266;el mundo paralizado por el coronavirus y ante una preocupacion habra una segunda ola de contagios infobae;2020-04-25 14:38:33+00:00;Anuncio_4;Rosario, Argentina;2020-04-25;
Mariana52481015;frente a la bajante del rio se agregan bombas en rosario santa fe monje rincon reconquista etc para captar mas agua y asi estar prevenidos para el futuro confia en el agua potable imprescindible para luchar contra el coronavirus;2020-04-25 14:30:19+00:00;Anuncio_4;Rosario, Argentina;2020-04-25;
GiampieriMartin;la decision del gobierno nacional de retirarse de las negociaciones que mantiene mercosur con 3ros paises es netamente proteccionista se adelanta al mundo post coronavirus con las potencias queriendo ubicar sus excedentes nosotros priorizamos el mercado interno peronismo puro;2020-04-25 14:19:33+00:00;Anuncio_4;Rosario, Argentina;2020-04-25;
MumalaSF;nuestras companeras mumalarosquin volvieron a entregar jabon liquido a su comuna sumando asi mas solidaridad en la lucha contra el coronavirus;2020-04-25 14:02:23+00:00;Anuncio_4;Rosario, Argentina;2020-04-25;
fmhorizonte917;conferencia de prensa sobre coronavirus covid19 via youtube;2020-04-25 11:17:31+00:00;Anuncio_4;Rosario, Argentina;2020-04-25;
Marcela01404806;nueva subida ligera de las muertes diarias por coronavirus 378 enviado desde updayesp;2020-04-25 11:07:18+00:00;Anuncio_4;Rosario, Argentina;2020-04-25;
valenchasset;que derechos pueden pedir los hijos de putas estos yo iria a probar la vacuna del coronavirus en las mierdas estas por lo menos asi capaz sirven para algo;2020-04-25 10:54:00+00:00;Anuncio_4;Rosario, Argentina;2020-04-25;
Paula_CelesteH;estos podriamos ser tu y yo guaynaa pero el coronavirus nos nos deja perreointenso;2020-04-25 10:09:27+00:00;Anuncio_4;Rosario, Argentina;2020-04-25;
SebaCIbarra;efecto coronavirus la uca estima que la pobreza alcanzo al 45 de la poblacion;2020-04-25 05:06:47+00:00;Anuncio_4;Rosario, Argentina;2020-04-25;
luisaG0706;estan en silencio total con la escusa del coronavirus les viene bien;2020-04-25 04:13:04+00:00;Anuncio_4;Rosario, Argentina;2020-04-25;
SebaCIbarra;coronavirus argentina y brasil crearon un comite de emergencia para colaborar en la lucha contra el covid19 infobae;2020-04-25 02:17:38+00:00;Anuncio_4;Rosario, Argentina;2020-04-25;
raul_lucarini;los cientificos del malbran mediante un microscopio electronico de ultima generacion lograron fotografiar la cepa del corona virus que circula en argentina he aqui la imagen;2020-04-25 02:06:57+00:00;Anuncio_4;Rosario, Argentina;2020-04-25;
SoFiPuchot;ojala pudieraaa pinche coronavirus wey;2020-04-25 02:01:36+00:00;Anuncio_4;Rosario, Argentina;2020-04-25;
MarcosCarballo_;coronavirus primer caso confirmado en capitan bermudez via criteriosl;2020-04-25 01:59:16+00:00;Anuncio_4;Rosario, Argentina;2020-04-25;
ElProvinncial;coronavirus estan mandando a morir a la gente lo denuncio medico de pami via elprovinncial adolfoferradas ricardoferrada4;2020-04-25 00:37:41+00:00;Anuncio_4;Rosario, Argentina;2020-04-25;
luisaG0706;de acuerdoahora estamos presos en nuestras casas por el coronavirus despues seguimos presos porque las calles estaran llenas de chorros y delincuentes;2020-04-25 00:27:49+00:00;Anuncio_4;Rosario, Argentina;2020-04-25;
LuffyEsMiPastor;y cuando nos vacunen contra el coronavirus tambien nos van a implantar amor y lealtad hacia alberto ahre;2020-04-25 00:09:48+00:00;Anuncio_4;Rosario, Argentina;2020-04-25;
celeeav;me largue a llorar porque un hombre vencio al coronavirus yo no era asi les juro;2020-04-25 00:02:03+00:00;Anuncio_4;Rosario, Argentina;2020-04-25;
FlorDeSommelier;dame 10 copiado del muro de paulinacocina cuarentena coronavinus coronavirus wine winememe en mendoza argentina;2020-04-25 19:45:59+00:00;Anuncio_4;Mendoza, Argentina;2020-04-25;
CuyoNoticias;pese a los estragos economicos del coronavirus china confirma que llegara en unos meses a la superficie de marte;2020-04-25 19:05:55+00:00;Anuncio_4;Mendoza, Argentina;2020-04-25;
VeroDelCollado;metete denuncia no seas complice maltratoinfantil covid19 coronavirus cuarentenaobligatoria argentina mendoza findesemana;2020-04-25 19:01:49+00:00;Anuncio_4;Mendoza, Argentina;2020-04-25;
Maxiver49;coronavirus un fiscal convoco a un cacerolazo en rechazo a la liberacion masiva de delincuentes radio mitre;2020-04-25 18:02:05+00:00;Anuncio_4;Mendoza, Argentina;2020-04-25;
tomasametlla;con la excusa del coronavirus el estado sin prisa pero sin pausa va restringiendo la economia y nuestras libertades eso si vos segui botoneando al vecino que sale a laburar para poder darle de comer a su familia;2020-04-25 17:24:24+00:00;Anuncio_4;Mendoza, Argentina;2020-04-25;
manueljdelc;el peronismo es peor que la corona virus cuando pase la pandemia esto sera evidente;2020-04-25 16:15:28+00:00;Anuncio_4;Mendoza, Argentina;2020-04-25;
esteonline;coronavirus mendoza cuarentenacoronavirus barbijos quedateencasa en mendoza province;2020-04-25 16:09:07+00:00;Anuncio_4;Mendoza, Argentina;2020-04-25;
gabbimerino;el corona virus hizo que todas las peliculas de marvel se reprogramen para 202122;2020-04-25 13:50:09+00:00;Anuncio_4;Mendoza, Argentina;2020-04-25;
nicoalbornoz6;che ya habra algun caso de coronavirus y dengue en un mismo ser humano;2020-04-25 23:32:32+00:00;Anuncio_4;Tucumán, Argentina;2020-04-25;
luismariaruiz;hubo tres muertes por coronavirus en el pais y totalizan 179;2020-04-25 18:25:57+00:00;Anuncio_4;Tucumán, Argentina;2020-04-25;
SilviaYiyi;infeccion materna por coronavirus 2019ncov riesgo muy bajo para la lactancia;2020-04-25 16:07:09+00:00;Anuncio_4;Tucumán, Argentina;2020-04-25;
RadioGrodekArg;jefe de la armada espanola brinda su informacion sobre el tema corona virus imagenes exclusivas de radio grodek argentina;2020-04-25 12:15:07+00:00;Anuncio_4;Tucumán, Argentina;2020-04-25;
RadioGrodekArg;palacio de la moncloa en espana informa existen 2984 casos de corona virus;2020-04-25 12:10:23+00:00;Anuncio_4;Tucumán, Argentina;2020-04-25;
MarianaR31;vecinos de la zona de la bombilla queman cubiertas y protestan porque aseguran que llegaron dos micros con personas provenientes de otras provincias y bajaron en la escuela del lugar tienen miedo que estas personas tengan coronavirus;2020-04-25 03:14:09+00:00;Anuncio_4;Tucumán, Argentina;2020-04-25;
MarianaR31;este es el texto donde se informa que el equipo cientifico de investigaciones fiscales los encargados entre otras cosas d recoger y resguardar las pruebas no van a ir al lgar del hecho por el tema del coronavirus era por 15 dias ya estan vencidos pero hoy tampoco fueron;2020-04-25 01:59:20+00:00;Anuncio_4;Tucumán, Argentina;2020-04-25;
RadioGrodekArg;en israel tambien tiene corona virus esta es la realidad actual en exclusiva desde radio grodek argentina;2020-04-25 01:09:03+00:00;Anuncio_4;Tucumán, Argentina;2020-04-25;
RadioGrodekArg;vamos hasta diciembre con el corona virus para que 15 dias mas los producciones de teatros dicen el pais esta fundido;2020-04-25 00:26:34+00:00;Anuncio_4;Tucumán, Argentina;2020-04-25;
RadioGrodekArg;el verdadero corona virus mas claro imposible;2020-04-25 00:24:34+00:00;Anuncio_4;Tucumán, Argentina;2020-04-25;
torresariel80;sanjuan coronavirus parte oficial de la situacion en la provincia no hay nuevos casos confirmados y se descartaron 56 sospechosos cuyos resultados dieron negativos ademas hay otros 14 casos sospechosos en proceso de laboratorio y320 personas en cuarentena quedateencasa;2020-04-25 22:34:00+00:00;Anuncio_4;San Juan, Argentina;2020-04-25;
ovabalmaceda2;que pasara con aquellos dados de alta de coronavirus sabiendo la oms ha confirmado que pueden volver a enfermar volveran a sus actividades habituales;2020-04-25 20:04:16+00:00;Anuncio_4;San Juan, Argentina;2020-04-25;
GSugo;revivi la entrevista con corialahoz ingresando a la historia de mi instagram negrosugo afirma si no hay un rescate de empresas 450000 pymes desapareceran la mitad a final de ano la cuarentena va provocar mas muertos que el corona virus entre las frases destacadas;2020-04-25 16:45:31+00:00;Anuncio_4;San Juan, Argentina;2020-04-25;
DChimbas;argentina chile paraguay venezuela ecuador peru brasil colombia bolivia uruguay mexico eeuu elsalvador espana italia china oms cuarentena cuba alferdez sebastianpinera jairbolsonaro maritoabdo que pais es un ejemplo en su manejo del coronavirus covid19;2020-04-25 15:14:13+00:00;Anuncio_4;San Juan, Argentina;2020-04-25;
FierroSilvina;noam chomsky y el coronavirus otra falla masiva y colosal de la version neoliberal del capitalismo la vision de filosofo y linguista sobre la situacion actual y el mundo que viene via pagina12;2020-04-25 12:25:21+00:00;Anuncio_4;San Juan, Argentina;2020-04-25;
joselosalvio;la cuarentena en septiembre el coronavirus vino para quedarse;2020-04-25 20:47:45+00:00;Anuncio_4;Neuquén, Argentina;2020-04-25;
GuilleMonzani;por eso en el concejo deliberante presente un proyecto de ordenanza para incorporar al comite de emergencia de la ciudad a diferentes referentes del sector privado para disenar politicas de reconstruccion de la actividad economica danada por la pandemia del coronavirus;2020-04-25 16:22:51+00:00;Anuncio_4;Neuquén, Argentina;2020-04-25;
DipCesarGass;celebro que los concejales de neuquen jorconcejalnqn guillemonzani y rociojabat presenten un proyecto de ordenanza adaptado a la ciudad de neuquen sobre la incorporacion de actores economicos al comite de crisis coronavirus;2020-04-25 15:29:13+00:00;Anuncio_4;Neuquén, Argentina;2020-04-25;
OmarGutierrezOk;buensabado por resolucion aprobamos la modalidad de trabajo y el protocolo sanitario basico de las actividades que se flexibilizaran en la cuarentenaadministrada conforme a la evolucion epidemiologica de la pandemia por el coronavirus mira;2020-04-25 15:24:07+00:00;Anuncio_4;Neuquén, Argentina;2020-04-25;
PacoGaribaldi;en el marco de la pandemia por el coronavirus gobsantafe recibira 5000 millones de aportes del tesoro nacional atn proponemos que esos fondos sean coparticipables con los municipios y comunas de santa fe;2020-04-25 16:52:52+00:00;Anuncio_4;Paraná, Argentina;2020-04-25;
KevinAgestal;estan imprimiendo billetes como nunca cuando el dolar este 500 van a decir que es culpa del coronavirus;2020-04-25 16:24:47+00:00;Anuncio_4;Paraná, Argentina;2020-04-25;
silvinafrana;coronavirus esta es la web que desarrollo gobsantafe para que sepamos con claridad todo lo referido al covid19 aqui encontraras protocolos permisos normativas preguntasfrecuentes prevencion centrosdesalud y mas cuidarteescuidarnos;2020-04-25 15:29:52+00:00;Anuncio_4;Paraná, Argentina;2020-04-25;
Luluscita;porque estas en parana en santa fe me pasa lo mismo 15 dias sin coronavirus confirmado pero el no frena;2020-04-25 13:38:41+00:00;Anuncio_4;Paraná, Argentina;2020-04-25;
vagniz;insolito un bebe nacido el miercoles pasado en la localidad santafesina de ceres fue inscripto como covid de segundo nombre en referencia a la enfermedad que causa la pandemia de coronavirus informaron hoy;2020-04-25 11:05:45+00:00;Anuncio_4;Paraná, Argentina;2020-04-25;
