username;tweet;fecha;anuncio;ubicacion;fecha_sola;sentimiento
Mar-14;edufeiok edufeiok te comento tengo a mi hijo con coronavirus pasa que al resto fls flia jamas nos hisoparon es normal;2020-07-31 21:27:55+00:00;Anuncio_10;Buenos Aires, Argentina;31-07-20;Neutral
____Marcos77;aguante el coronavirus;2020-08-14 00:30:36+00:00;Anuncio_11;Cordoba, Argentina;14-08-20;Neutral
__Maxi94;mamita pique ni el coronavirus se agarra porque le pasa de largo;2020-08-14 19:23:55+00:00;Anuncio_11;Buenos Aires, Argentina;14-08-20;Neutral
_4ojos_;gaboiudo me podes dar senales de vida antes que vaya a tu casa y te contagie de coronavirus gracias te amo;2020-08-14 03:17:33+00:00;Anuncio_11;Buenos Aires, Argentina;14-08-20;Neutral
_agustinw;queridos pocitanos cuidense que si no los mata el coronavirus los ataca un puma;2020-06-26 16:01:30+00:00;Anuncio_8;San Juan, Argentina;26-06-20;Positivo
_AlwaysBrave_;estoy mirando where we are tour con mis hermanitos y en la parte de kiss you cuando harry se chupa el dedo mi hermanita de 5 anos me dice harry no sabe que hay coronavirus jajajajaja;2020-07-17 23:25:27+00:00;Anuncio_9;Buenos Aires, Argentina;17-07-20;Neutral
_ArayaSebastian;se consiguio el acuerdo con los bonistas se va a realizar la vacuna para el corona virus en argentina se va a abastecer a toda america latina chiquesss el peronismo gobierna y el resto tuitea besitosss;2020-08-14 06:19:30+00:00;Anuncio_11;Mendoza, Argentina;14-08-20;Positivo
_cadenavida;partediario sanjuan coronavirus nuevos casos 0 total confirmados 22 pacientes con proceso infeccioso 4 recuperados 18 sospechosos 2 test negativos 138 en cuarentena 457 cuarentena cumplida 7750 modificado por ultima vez en viernes 14 agosto 2020 1921;2020-08-14 22:31:35+00:00;Anuncio_11;San Juan, Argentina;14-08-20;Neutral
_CamiiSL;a ustedes tambien les pasa que cuando empiezan hablar con una persona que nunca hablaron el tema de conversacion es el coronavirus;2020-08-14 20:05:14+00:00;Anuncio_11;Buenos Aires, Argentina;14-08-20;Neutral
_danimoran_;esta foto remarca mis dos meses de trabajo sin parar y en pleno coronavirus pero nunca perdiendo el estilo;2020-05-08 01:06:27+00:00;Anuncio_5;Buenos Aires, Argentina;08-05-20;Neutral
_diegorc;no tarado el coronavirus metio a la gente dentro de la casa;2020-08-14 02:55:09+00:00;Anuncio_11;Buenos Aires, Argentina;14-08-20;Neutral
_GastonCastro_;coronavirus la concha de tu hermana dijo;2020-08-14 02:11:46+00:00;Anuncio_11;Paraná, Argentina;14-08-20;Neutral
_jjuligomez;el coronavirus en q los cago a ustedes a mi el viaje de 15 concierto de cazzu el invierno bello precioso mio estudiar en un nuevo colegio la concha de la gorra;2020-05-08 08:09:24+00:00;Anuncio_5;Buenos Aires, Argentina;08-05-20;Negativo
_jugueterabioso;copado el sex zoom donde podes hacer distintas fantasias garchar a tu jefa etc albertofernandez coronavirus;2020-08-14 22:34:28+00:00;Anuncio_11;Buenos Aires, Argentina;14-08-20;Neutral
_malecasaado;jajajajaja coronavirus;2020-08-14 21:37:13+00:00;Anuncio_11;Buenos Aires, Argentina;14-08-20;Neutral
_nachofogareta;ya me resigne con el coronavirus de mierda este lo unico que espero es que para el verano ya este todo lizardo y hagamos alta joda en una quinta a todo culo con los parlantes que me revienten el pecho;2020-08-14 16:30:31+00:00;Anuncio_11;Rosario, Argentina;14-08-20;Positivo
_RamiGarcia;oa amigo si les falta uno chiflame que ya no tengo mas coronavirus;2020-08-14 15:42:29+00:00;Anuncio_11;Buenos Aires, Argentina;14-08-20;Negativo
_regnault_;el coronavirus entrando en el cuerpo de los jugadores del bayern y ver que tienen 4 pulmones championsleague bayernmunich;2020-08-14 21:23:43+00:00;Anuncio_11;Buenos Aires, Argentina;14-08-20;Neutral
_RodriiFernan;150 dias te dejan deprimido vos no estas deprimido extranas salir a bailar seguro deprimente es perder a tu ser querido por el coronavirus o que el gobierno no te ampare viste la propaganda del gobierno queres terminar asi te falta empatia;2020-08-14 17:55:54+00:00;Anuncio_11;Buenos Aires, Argentina;14-08-20;Positivo
_RodriiFernan;ahi esta kici comparando el coronavirus con el hiv ajskjsa;2020-08-14 17:11:27+00:00;Anuncio_11;Buenos Aires, Argentina;14-08-20;Negativo
_RodriiFernan;tengo a mi hermano y dos amigas cada dias mas deprimidas gente que conozco que cada vez le cuesta mas salir de esta un monton de gente cercana adulta cuya salud se deterioro y no por el coronavirus la gente cada vez esta peor y faltan mas meses piri si silvirin vidis;2020-08-14 17:01:07+00:00;Anuncio_11;Buenos Aires, Argentina;14-08-20;Negativo
_sofirousset;si no fuera por culpa del coronavirus estaria en mi mejor momento;2020-08-14 04:37:06+00:00;Anuncio_11;Tucumán, Argentina;14-08-20;Neutral
130Linea;atencion se esperan novedades por la finalizacion de la cuarentenaextricta si durante la semana proxima aumenta la cantidad de usuarios se tomaran medidas con el fin de evitar aglomeraciones e inconvenientes les pedimos comprension el coronavirus aun esta entre nosotros;2020-07-17 15:52:25+00:00;Anuncio_9;Buenos Aires, Argentina;17-07-20;Positivo
