username;tweet;fecha;anuncio;ubicacion;id;sentimiento
VozdeRosario;coronavirus suman 5527 los fallecidos y 282437 los contagiados en el pais lavozderosario;2020-08-14 23:36:23+00:00;Anuncio_11;Rosario, Argentina;1294417616153560000;Neutral
VozdeRosario;un arquero de la seleccion argentina fue diagnosticado con coronavirus lavozderosario;2020-08-14 23:18:04+00:00;Anuncio_11;Rosario, Argentina;1294413007334800000;Neutral
VozdeRosario;coronavirus en rosario 77 nuevos casos en la ciudad y un total de 190 en la provincia lavozderosario;2020-08-14 23:13:34+00:00;Anuncio_11;Rosario, Argentina;1294411876374380000;Neutral
VozdeRosario;guanini supero el coronavirus y se suma al plantel de newells lavozderosario;2020-08-14 22:23:56+00:00;Anuncio_11;Rosario, Argentina;1294399383803500000;Neutral
VozdeRosario;coronavirus en rosario los mapas de calor por barrios que revelan la escalada de casos en 54 dias lavozderosario;2020-08-14 21:53:29+00:00;Anuncio_11;Rosario, Argentina;1294391719648250000;Neutral
VozdeRosario;coronavirus javkin y caruana presentaron un informe detallado y anunciaron nuevas estrategias sanitarias lavozderosario;2020-08-14 21:51:42+00:00;Anuncio_11;Rosario, Argentina;1294391272489310000;Neutral
VozdeRosario;brasil patenta un suero equino para el tratamiento del nuevo coronavirus lavozderosario;2020-08-14 17:28:38+00:00;Anuncio_11;Rosario, Argentina;1294325068672180000;Neutral
VozdeRosario;espana la expansion del coronavirus no cede y acuerdan medidas en todo el pais lavozderosario;2020-08-14 17:13:18+00:00;Anuncio_11;Rosario, Argentina;1294321212068430000;Neutral
VozdeRosario;estados unidos con mas de 600000 contagios california es el estado mas afectado por el coronavirus lavozderosario;2020-08-14 17:03:49+00:00;Anuncio_11;Rosario, Argentina;1294318821738770000;Neutral
VozdeRosario;colombia uribe supera el coronavirus y se declara listo para ir a la carcel lavozderosario;2020-08-14 16:40:47+00:00;Anuncio_11;Rosario, Argentina;1294313025206460000;Neutral
VozdeRosario;millenials de universidades publicas el corazon del laboratorio nacional que combate el coronavirus lavozderosario;2020-08-14 04:29:01+00:00;Anuncio_11;Rosario, Argentina;1294128872280250000;Neutral
VozdeRosario;coronavirus suman 5362 los fallecidos y 276072 los contagiados lavozderosario;2020-08-14 00:15:11+00:00;Anuncio_11;Rosario, Argentina;1294064994808620000;Neutral
voxpopulimza;cuatro muertos y 178 mendocinos mas con coronavirus;2020-08-14 23:57:17+00:00;Anuncio_11;Mendoza, Argentina;1294422874191730000;Neutral
voxpopulimza;coronavirus ya son 5527 los fallecidos y 282437 los contagiados en el pais;2020-08-14 23:25:52+00:00;Anuncio_11;Mendoza, Argentina;1294414968473940000;Neutral
