username;tweet;fecha;anuncio;ubicacion;sentimiento
Elizabeth789741;alferdez alferdezprensa por favor qxsea a partir del sabafo la cuarentena los q fuimos hoy a trabajar no hemos podido organizarnos;2020-03-19 23:04:48+00:00;Anuncio_1;Buenos Aires, Argentina;
sergistack;usas google chrome lo siento por las mayusculas pero existe un nuevo navegador que es mas rapido y mas privado que chrome bloquea los anuncios y los rastreadores lo cual ahorra tiempo de carga la interfaz es exactamente igual que la de chrome brave lo supera en todo;2020-03-28 20:07:18+00:00;Anuncio_1;Buenos Aires, Argentina;
vickyuliyapo;comodice inesazpelicueta que comiencen ya a elaborar remedios genericos asi no nos toma de sorpresa identica respuesta que tuvo el gobierno con la elaboracion del alcohol en gel o barbijos c parte del ministerio de defensa vamosss alberto;2020-03-19 22:57:33+00:00;Anuncio_1;Buenos Aires, Argentina;
RUCHOCASLA;alferdez alferdezprensa a los que enganchan en la ruta yendose de vacaciones metanles una multa de 100 lucas y si se hacen los locos cuarentena presos con los giles mano dura companero abrazo;2020-03-19 20:28:12+00:00;Anuncio_1;Buenos Aires, Argentina;
Populismomata;alferdezprensa porque no hacen que el indek mida el coronavirus asi lo bajan tan facil como ya hicieron con la inflacion;2020-03-19 17:46:55+00:00;Anuncio_1;Buenos Aires, Argentina;
MonicaDamiano3;alferdezprensa chapeau presidente lo saludo como mujer que voto a la comporto como duque;2020-03-19 17:24:15+00:00;Anuncio_1;Buenos Aires, Argentina;
GriseldaLassaga;malisima estrategia de comunicacion alferdezprensa;2020-03-19 09:51:26+00:00;Anuncio_1;Buenos Aires, Argentina;
LMnuncaP;chile tiene 6 laboratorios y lo amplia a 12 la semana que viene nosotros seguimos con 1 el malbran seguramente superamos al dia de hoy los 500 casos con trafico interno que esperan ginesggarcia alferdezprensa;2020-03-19 08:14:24+00:00;Anuncio_1;Buenos Aires, Argentina;
IvanBurgofkrebs;alferdez alferdezprensa denuncio un empleador vivo aqui los choferes no se animan a denunciar por miedo a perder su trabajo pero yo soy pasajero y lo puedo hacer tranquilamente buenjueves cuarentenatotal cierretotal noseasgilquedateencasa coronavirus dia3;2020-03-19 04:48:23+00:00;Anuncio_1;Buenos Aires, Argentina;
Elizabeth789741;alferdez alferdezprensa patobullrich no solo moratoria un tributarista exige otras 9 medidas de alivio impositivo para salvar empresas y empleos durante la pandemia infobae;2020-03-29 17:52:53+00:00;Anuncio_2;Buenos Aires, Argentina;
danielchayau;check out the audio book elven magic on audible;2020-01-09 02:13:53+00:00;Anuncio_2;Buenos Aires, Argentina;
Pamela41935110;hola banco comafi monte grande;2020-03-29 15:08:41+00:00;Anuncio_2;Buenos Aires, Argentina;
Pamela41935110;no es justo otro banco pueda cobra por huella dijital y otro banco no lo hacen;2020-03-29 13:56:34+00:00;Anuncio_2;Buenos Aires, Argentina;
Pamela41935110;no hay repuesta se lava la mano ustdet y el banco anse tambien carajo piensa hacer;2020-03-29 13:55:57+00:00;Anuncio_2;Buenos Aires, Argentina;
Pamela41935110;piensa mataron de hambre no por el virus si no por hacer todo mal no hareglo nada iva ser para los jubilado y pensionados deja a asen no da solucion no es patos lo banco esa huella cobra mira cobra y otro no cobramos carsjo pienses hacer matarno pasando re enoja furiosa;2020-03-29 13:55:13+00:00;Anuncio_2;Buenos Aires, Argentina;
Pamela41935110;una pregunta hasta cuanto va esta esto ya no pode mi mas y los banco no atiende ni por telefono y no abre que sea un rato despues cierra les cuesta pedi mi tarjeta de debito no me la dieron ustde tiene plata yo y mi mama no tenemos plata no voy cobra no tengo tarjeta de debito;2020-03-29 13:52:40+00:00;Anuncio_2;Buenos Aires, Argentina;
luchocremaschi;diganle a federico fernandez que al menos firme el petitorio para ser un poco mas serios;2020-03-29 07:45:44+00:00;Anuncio_2;Buenos Aires, Argentina;
SandraA09996070;alferdezprensa alferdez reclamo profesionales autonomos;2020-03-29 16:19:39+00:00;Anuncio_2;Paraná, Argentina;
Antoo2108181;chee alferdezprensa y aca que pasa y la cuarentena y la policia;2020-04-10 23:03:23+00:00;Anuncio_3;Buenos Aires, Argentina;
MatiasERuiz;dia de sentimientos anticuarentena en su cenit muy a pesar de ello se olfatea una acentuacion de la invectiva confiscatoria oficial sobre esa medida que evalua tomar mr president no lo haga casi un ruego no rompa todo cc alferdez alferdezprensa;2020-04-10 21:13:05+00:00;Anuncio_3;Buenos Aires, Argentina;
adrianad952;alferdez alferdezprensa titere felpudo complice de cfk;2020-04-10 20:49:20+00:00;Anuncio_3;Rosario, Argentina;
adrianad952;alferdez alferdezprensa ginesggarcia nomevanacallar gobiernodeinutiles gobiernocriminal gobiernoasesino culpables todos de los contagios y muertes x coronavirus;2020-04-10 13:23:59+00:00;Anuncio_3;Rosario, Argentina;
RosanaFalabella;horaciorlarreta alferdezprensa alferdez como este tema se extiende hasta el dia de hoy a lo mejor tenga ganas de ayudarme la scjn me manifesto que so quiero denunciar noooo es momento de construir tenemos un gran presidente alferdez;2020-04-25 20:07:17+00:00;Anuncio_4;Buenos Aires, Argentina;
emmariviello;elpeorpresidentedelahistoria es tendencia en twitter sera en parte porque alferdez paso de negociar con el mercosur a negociar con los presos kicillofok santicafiero alferdezprensa felipesola;2020-04-25 17:19:10+00:00;Anuncio_4;Buenos Aires, Argentina;
Ly_Cerv;mauriciomacri siempre demostro su amor por su gente en cientos de maneras asi nosotros con el porque se nos hace imposible olvidar sus 4 anos de gobierno a pesar de todas las abominaciones que le hizo la opo salvaje q soporto estoicamente mauriciomacrielmejor;2020-04-25 14:32:21+00:00;Anuncio_4;Buenos Aires, Argentina;
HBoleggi;alferdez alferdezprensa c5n todonoticias americatv infobaeamerica canal9oficial jonatanviale gcba batransito mindetransporte horaciorlarreta esta es la manera correcta de transportar materiales con sospecha de coronavirus;2020-04-25 13:28:23+00:00;Anuncio_4;Buenos Aires, Argentina;
9020Laura;no se negocia con delincuentes alferdez alferdezprensa;2020-04-25 02:21:44+00:00;Anuncio_4;Buenos Aires, Argentina;
albertoelma;alferdezprensa senor presidente el petroleo en el mas bajo precio del siglo pero la nafta y derivados de hidrocarburos no bajaron pero si nuestros sueldos porque senor;2020-04-25 00:03:53+00:00;Anuncio_4;Buenos Aires, Argentina;
Carolin48120500;alertaescolares sumate y comparti omarperotti alferdez todonoticias alferdezprensa pablojavkin no se olviden de los senores del transporte escolar quienes no resiben ningun tipo de ayuda del estado nacional;2020-04-25 17:48:13+00:00;Anuncio_4;Rosario, Argentina;
adrianad952;alferdez alferdezprensa ginesggarcia verguenza nacional son todos uds un medico del pami ii de rosario hizo una fuerte denuncia estan mandando a morir a la gente radio mitre;2020-04-25 12:51:40+00:00;Anuncio_4;Rosario, Argentina;
lirondelle1984;tenemos gobierno nacional;2020-05-08 04:55:41+00:00;Anuncio_5;Buenos Aires, Argentina;
GladysGaona5;y no se que paso;2020-05-08 04:28:43+00:00;Anuncio_5;Buenos Aires, Argentina;
germanmalparti1;por todos los argentinos varados alrededor del mundo y que quieren volver a casa alferdez alferdezprensa varadosarg varadosi varadosenespana belizgus cancilleriaarg;2020-05-08 03:47:15+00:00;Anuncio_5;Buenos Aires, Argentina;
rodrigosabas80;bien juan gracias por el apoyo abrazo grande hermano;2020-05-23 23:09:11+00:00;Anuncio_6;Buenos Aires, Argentina;
sergistack;usas google chrome lo siento por las mayusculas pero existe un nuevo navegador que es mas rapido y mas privado que chrome bloquea los anuncios y los rastreadores lo cual ahorra tiempo de carga la interfaz es exactamente igual que la de chrome brave lo supera en todo;2020-03-28 20:07:18+00:00;Anuncio_6;Buenos Aires, Argentina;
rodrigosabas80;gracias fenomeno gracias por ayudarnos abrazo grande;2020-05-23 22:19:52+00:00;Anuncio_6;Buenos Aires, Argentina;
edith_sga;sin dudas;2020-05-23 21:23:58+00:00;Anuncio_6;Buenos Aires, Argentina;
rodrigosabas80;fvallejoss aleberco dellatorrerulo chiesajuan joseluisramonok alferdezprensa santoroleandro cfkargentina les dejo un twit de una hipotecada muy complicada muchos banco no cumplen la ley pesce que es ta haciendono es un contrato entre privados el uva lo regula el bcra;2020-05-23 16:29:32+00:00;Anuncio_6;Buenos Aires, Argentina;
LaAcuariana78;muchas gracias espero q tambien me lea alferdez alferdezprensa cfkargentina licdanielarroyo magariovero kicillofok mdsnacion;2020-05-23 14:04:08+00:00;Anuncio_6;Buenos Aires, Argentina;
emmariviello;es tendencia numero 1 defaultdealberto saben algo de esto alferdez alferdezprensa kicillofok sergiomassa santicafiero martinmguzman;2020-05-23 01:05:22+00:00;Anuncio_6;Buenos Aires, Argentina;
LaAcuariana78;se lo rechazan y lo necesita muchisimo se encuentra en situacion de calle obvio le dimos un lugar no la dejamos tirada pero el anses cuando atendio en vez de ayudar nos saco de encima alferdez alferdezprensa ansesgob licdanielarroyo;2020-05-23 00:35:27+00:00;Anuncio_6;Buenos Aires, Argentina;
ClaradeGoycoech;alferdezprensa alferdez cfkargentina sigo con mis anteriores soy jub una y este gob canalla nos quito de nuevo eso si entre gallos y medianoche hemos aportado el 18 los bancarios para lograr el 82 y nos han robadoque no sea igual en nacion;2020-05-23 16:26:35+00:00;Anuncio_6;Cordoba, Argentina;
ClaradeGoycoech;alferdez alferdezprensa u cfkargentina ayuda para los rocca clarin y otros grandes los jubilados tenemos que morir como pensaba lagard estan faltando a sus promesas en las que creimos desde el 2003 no defraudarnos mas alberto y cris los queremos pero no damos mas;2020-05-23 16:21:36+00:00;Anuncio_6;Cordoba, Argentina;
ClaradeGoycoech;alferdez alferdezprensa cfkargentina me parece senor presidente y sr a vice presidenta que es cruel insospechado y faltan a la promesa que nos hicieron mi marido cobra la minima no permitan se nos caigan nuestros queridos mandatarios soy jub de pica de cbay es ig;2020-05-23 16:17:07+00:00;Anuncio_6;Cordoba, Argentina;
gallinCpL2018;alferdezprensa si ustd no la quiere entender junto con los banqueros y con la gente de la oposicion de dar dinero dinero a la gente real se les esta acabando la plata este aislamiento fracasara ustedes se haciendo bien los boludos;2020-06-04 23:49:06+00:00;Anuncio_7;Buenos Aires, Argentina;
Marianikeb;el pro siempre jugando politicamentedan asco no entienden que son ellos los que dejaron el pais economicamente arrasado ahora se preocupan por la economia cerraron 25000 pymes;2020-06-04 23:26:49+00:00;Anuncio_7;Buenos Aires, Argentina;
soniaTsanchez;se agranda el universo prostituyente mingenerosar alferdez alferdezprensa inadi;2020-06-04 22:54:13+00:00;Anuncio_7;Buenos Aires, Argentina;
rodrigosabas80;el estado tiene si tiene que ver infeliz y el bcra regulando el uva tambien hay mucha gente que lo saco por que eran los unicos creditos habia tanto prendarios personales y e hipotecarios lo que sease mal hay que corregirlos como dijo alferdez alferdezprensa;2020-06-04 17:21:02+00:00;Anuncio_7;Buenos Aires, Argentina;
Raquelgara1Raqu;dra debo ser extraterrestre no tengo fastidio no depre ni nada es mas manana voy a la guardia del durand no pueden negarse a revisar mi brazo el yeso lastimo mis dedos no entiendo xq tanto fastidio de psrte de los k tenemos techo y alimento;2020-06-04 15:05:27+00:00;Anuncio_7;Buenos Aires, Argentina;
sergistack;usas google chrome lo siento por las mayusculas pero existe un nuevo navegador que es mas rapido y mas privado que chrome bloquea los anuncios y los rastreadores lo cual ahorra tiempo de carga la interfaz es exactamente igual que la de chrome brave lo supera en todo;2020-03-28 20:07:18+00:00;Anuncio_2;Buenos Aires, Argentina;
hotelpricedrops;dont miss hotel deals like these our price discovery engine works 247 to bring you the best hotel deals get free alerts now;2020-01-05 00:43:01+00:00;Anuncio_6;Buenos Aires, Argentina;
ailaviulilita;como denominar a la cuarentena mas larga del mundo gobierno de inutiles;2020-06-26 22:50:44+00:00;Anuncio_8;Buenos Aires, Argentina;
GamesRedDeer;waiting for fallguys on nintendo try now joy of clumsyrush cosy party game fallguysgame nintendo nintendoswitch;2020-08-16 10:27:51+00:00;Anuncio_8;Buenos Aires, Argentina;
ROrrijola;y que pensas que cambiemos te va a dar me duele la gente corta de inteligencia diga estas cosas no es verdad que vos no puedas cobrar la ife no es verdad que vos no cobres por tu hijo auh ser desagradecida no es buen ser humano;2020-06-26 22:31:57+00:00;Anuncio_8;Buenos Aires, Argentina;
