username;tweet;fecha;anuncio;ubicacion;id;sentimiento
GonzaloBuxo;apoyo total las medidas fuerza presidente esta demostrando seriedad;2020-03-19 23:59:45+00:00;Anuncio_1;Buenos Aires, Argentina;1240790092408672257;
gacela2019;asi lo hacemos sr presidente;2020-03-19 23:58:50+00:00;Anuncio_1;Buenos Aires, Argentina;1240789862191685639;
arielonnis;alferdez alferdezprensa necesitamos respuesta tambien para este sector urgente alberto por favor;2020-03-19 23:57:29+00:00;Anuncio_1;Buenos Aires, Argentina;1240789521425465344;
VNosejubila;msalnacion alferdezprensa los que se fueron a la costa a bariloche a cordobaque se queden ahi hasta sean revisados uno x uno para salir a la ruta inconscientes;2020-03-19 23:47:45+00:00;Anuncio_1;Buenos Aires, Argentina;1240787074606915585;
KarlaSby;retrotraen aumentos y fijan topes de precios en 2000 productos o se acomodan al precio maximo o al que habia el 6 de marzo se respetara el menor precio argentina gracias alferdez alferdezprensa con un 0800 para denunciar a quienes quieran aprovecharse y sebastianpinera;2020-03-19 23:42:56+00:00;Anuncio_1;Buenos Aires, Argentina;1240785859785474049;
sentirteenpaz;twitter trucho ni siquiera da la cara debe ser un cheto con ganas de salir de vacaciones o tal vez alguno que llego de viaje pelotudo;2020-03-19 23:40:03+00:00;Anuncio_1;Buenos Aires, Argentina;1240785137006260225;
Pao09011618;alferdezprensa;2020-03-19 23:37:43+00:00;Anuncio_1;Buenos Aires, Argentina;1240784546011983872;
DaNKGjt7Yu15JT1;alferdez alferdezprensa tanto que critico al expresidente macrigato ud no esta haciendo nada con la gran escalada de los precios de los alimentos basicos y los de la carne no esta haciendo nada tampoco la vicepresidenta;2020-03-19 23:34:37+00:00;Anuncio_1;Buenos Aires, Argentina;1240783769025552394;
EeRosana;que tristeza pero tenemos fe gracias por cuidarnos lo vamos hacer entre todo;2020-03-19 23:30:54+00:00;Anuncio_1;Buenos Aires, Argentina;1240782830470336513;
InigoBiain;no niego lo complicado del momento pero no esta en riesgo la humanidad en la gripe espanola mal llamada murieron unos 100 millones de personas y la gente recuerda mas la segunda guerra e hiroshima con sus pocos muertos que esto;2020-03-19 23:28:05+00:00;Anuncio_1;Buenos Aires, Argentina;1240782125290459136;
Jose04189625;alferdezprensa que ayuda tendremos los pintores que si no trabajamos no comemos;2020-03-19 23:27:19+00:00;Anuncio_1;Buenos Aires, Argentina;1240781930485907456;
adelaguzmanok;hay que reconocer su criterio permanente para todo no pierde la oportunidad de demostrar cuan peltudo es fue y sera;2020-03-19 23:27:16+00:00;Anuncio_1;Buenos Aires, Argentina;1240781919509504001;
