username;tweet;fecha;anuncio;ubicacion;id
anaprgomez;los redondos;2020-03-19 23:50:32+00:00;Anuncio_1;Buenos Aires, Argentina;1240787772165799938
GamesRedDeer;what is your favorite party game have a look on clumsyrush party game nintendoswitch;2020-08-13 13:33:15+00:00;Anuncio_1;Buenos Aires, Argentina;1293903444135182338
JCesarRod;y nuestra valiente vp cfkargentina donde esta a ella q le gusta tanto hablar la estara pasando bien en sus vacaciones quedateencasapelotudo;2020-03-19 23:45:46+00:00;Anuncio_1;Buenos Aires, Argentina;1240786573131681793
heoaliascazon;te amo igual que a cfkargentina;2020-03-19 20:58:40+00:00;Anuncio_1;Buenos Aires, Argentina;1240744522251984897
DiegoCorsini;con tinelli leyendo ni lost era tan inverosimil;2020-03-19 20:56:25+00:00;Anuncio_1;Buenos Aires, Argentina;1240743955014266891
heoaliascazon;me sale gritar viva la patria carajoooo y gracias a cfkargentina tener una aerolinea de bandera;2020-03-19 20:39:26+00:00;Anuncio_1;Buenos Aires, Argentina;1240739679378472960
LEONARDODIAZ810;ls portuarios siempre stams dispuestos a dar tdo pra el bien d nuestro querido pais x eso stams a disposicion d alferdez cfkargentina mariomeoni pra hcer frente a l q viene smos importarte en el abastecimiento d nuestra nacionmuchos asumimos sta postura cennavearg;2020-03-19 20:30:47+00:00;Anuncio_1;Buenos Aires, Argentina;1240737503008653312
Letipanta;donde esta cfkargentina porque no nos acompana;2020-03-19 19:42:36+00:00;Anuncio_1;Buenos Aires, Argentina;1240725377615638534
marulivillella;gracias y gracias a la yegua cfkargentina q te eligio yo te habia dicho mucho antes q solo juntos ibamos a salir y hoy mas q nunca creo q tenia razon casi una bruja fuerza y no te olvides al garca ni olvido ni perdon;2020-03-19 17:45:39+00:00;Anuncio_1;Buenos Aires, Argentina;1240695947492880390
papaoso1894;que parte de quedarse en casa no entendiste pelotuda o es que el koronavirus ya te pego y si la ciudad de mierda no te gustate puedes ir como la sinverguenza de cfkargentina no te vamos a extranar bobita;2020-03-19 17:13:43+00:00;Anuncio_1;Buenos Aires, Argentina;1240687910308835331
emperatrizCbesa;cfkargentina todos tienen derecho a meter a su cama a quien quiera pero mientras no se anteponga con sus dberes de funcionaria publicaok estamos en emergencia unica en nuestro pais y como siempre t lavas las manos y d trampa a cuba naciste carente del gen de la verguenza;2020-03-19 20:16:34+00:00;Anuncio_1;Cordoba, Argentina;1240733925238079490
emperatrizCbesa;cfkargentina siempre se cago en la gentelos genios del voto la siguen eligiendoque se jodan;2020-03-19 14:19:55+00:00;Anuncio_1;Cordoba, Argentina;1240644172413112322
FernandoUrquia4;cfkargentina la copia a la vice por las dudas te quiere escuchar ya que ella te contratabayo paso;2020-03-19 23:43:24+00:00;Anuncio_1;Rosario, Argentina;1240785975934058496
KORTAZAR;correte pavo alferdez y cfkargentina estan gobernando;2020-03-19 02:37:47+00:00;Anuncio_1;Rosario, Argentina;1240467473574625280
smcalvetti;cuando entiendas como se maneja la salud publica hablamos;2020-03-19 00:16:05+00:00;Anuncio_1;Rosario, Argentina;1240431814881181700
AliciaRuthQuir1;cfkargentina sos impresentable ojala no novuelvasmas;2020-03-19 17:57:15+00:00;Anuncio_1;Mendoza, Argentina;1240698866841743362
AliciaRuthQuir1;vergonzoso cfkargentina;2020-03-19 17:55:46+00:00;Anuncio_1;Mendoza, Argentina;1240698494681141248
AgaticalAndrea;estos forros q le ponen aviones nuestros p repatriarlos y se comportan como bestias estos acordate no te respetan la cuarentena aerolineasar coronavirusenargentina alferdez cfkargentina;2020-03-19 00:20:42+00:00;Anuncio_1;Neuquén, Argentina;1240432978259587073
carlasil18;ja ja ja te pareces a las tilingas y tilingos de recoleta se dobadon un pbi;2020-03-29 23:56:01+00:00;Anuncio_2;Buenos Aires, Argentina;1244413032828190720
sergistack;usas google chrome lo siento por las mayusculas pero existe un nuevo navegador que es mas rapido y mas privado que chrome bloquea los anuncios y los rastreadores lo cual ahorra tiempo de carga la interfaz es exactamente igual que la de chrome brave lo supera en todo;2020-03-28 20:07:18+00:00;Anuncio_2;Buenos Aires, Argentina;1243993087531266049
l_amante;sera que no todo es lo que parece no se olviden que cfkargentina recibio un premio x combatir el hambre con indices truchos del indek yv40 de pobreza estructural;2020-03-29 23:33:10+00:00;Anuncio_2;Buenos Aires, Argentina;1244407279425855488
lirondelle1984;cfkargentina estan echando trabajadoreste necesitamos esta todo bien pero se suponia que podian echar companeros cris socorro eeuu nos ha puesto es esgta guerra bacteriologica y mientres hablamos delvirus el mundo de estamovieno para mal nuestro este sistema de rocca;2020-03-29 23:23:11+00:00;Anuncio_2;Buenos Aires, Argentina;1244404769449545731
lirondelle1984;albertoestan echando companeros rocca a la carcel y embargo de sus infinitas empresas son privilegiados son estos los unicospriveligiadosalferdez cfkargentina;2020-03-29 23:15:20+00:00;Anuncio_2;Buenos Aires, Argentina;1244402791810039809
Alonsosusuki;ellos fueron los 1os en comerse el verso apoyenme asi me la saco de encima luego los sindicatos vamos derecho al socialismo el plan es el de ella q obvio ayudo el virus achatamiento de piramide de ingresos destruccion de la clase media burguesa expropiaciones de empresas;2020-03-29 21:29:17+00:00;Anuncio_2;Buenos Aires, Argentina;1244376104959447041
