username;tweet;fecha;anuncio;ubicacion;sentimiento
Nerinapf;por favor la gente que esta en la calle y tiene un techo quedense en sus casas no jodan mas coronavirus;2020-03-19 23:58:22+00:00;Anuncio_1;Buenos Aires, Argentina;
MileParamo;todxs sin coronavirus pero con hantavirus esa es tu agenda sabelo;2020-03-19 23:57:59+00:00;Anuncio_1;Buenos Aires, Argentina;
Maiferretti;no puedo creer q sigan tomandose en joda lo del coronavirus y sigan paseando son tan tan egoistas se cagan en todo;2020-03-19 23:56:53+00:00;Anuncio_1;Buenos Aires, Argentina;
Nerinapf;por lo que veo mucha gente no esta acostumbrada a estar un par de dias solos en sus casas es mucho tiempo para pensar en cosas que normalmente no piensan coronavirus;2020-03-19 23:56:14+00:00;Anuncio_1;Buenos Aires, Argentina;
JulianObiglio;atencion gcba y presidenciaarg la comunidad de madrid lanzo una app para autoevaluacion y seguimiento de los casos de coronavirus herramienta que podria replicarse rapidamente aqui para ayudar a evitar el colapso del sistema de salud;2020-03-19 23:55:20+00:00;Anuncio_1;Buenos Aires, Argentina;
CarlosEsnaola;tranqui camila bono ya saco un tema sobre el coronavirus;2020-03-19 23:53:37+00:00;Anuncio_1;Buenos Aires, Argentina;
Yesii_Lo;bueno necesitamos que haya 1millon de muertos para alarmarnos porque la prevencion es una palabra q no dice nada porque es necesario luchar con el sarampion y tambien con el coronavirus porque es necesario colapsar los hospitales agotar a nuestros medicos necesitamos el 30;2020-03-19 23:52:58+00:00;Anuncio_1;Buenos Aires, Argentina;
davito1972;me pareces un poco tonta te suena coronavirus;2020-03-19 23:49:08+00:00;Anuncio_1;Buenos Aires, Argentina;
cgago88;en minutos arranca la conferencia de prensa de alferdez con los nuevas medidas para frenar el avance del coronavirus en la argentina escuchemos al presidente al msalnacion y a los especialistas planifiquemos con datos concretos no con histeria colectiva;2020-03-19 23:46:34+00:00;Anuncio_1;Buenos Aires, Argentina;
agusguguslarram;toy boy toyboy netflix serie serienetflix viciandonetflix cuarentena cuartodiadecuarentena coronavirus apocalipsiscoronavirus en mataderos;2020-03-19 23:46:18+00:00;Anuncio_1;Buenos Aires, Argentina;
anaarco36594394;todavia sale en la tele mier no penso q iba a llagar el coronavirus tan rapido si no hubieramos hecho despacio las comprastarde;2020-03-19 23:46:11+00:00;Anuncio_1;Buenos Aires, Argentina;
gracifer242;el coronavirus son los k;2020-03-19 23:44:59+00:00;Anuncio_1;Buenos Aires, Argentina;
Juliaan_Cam;el chino de mi barrio estaba enfierrado ya voy a tener coronavirus pero no me van a saquear dijo que hombre jajajaj;2020-03-19 23:44:41+00:00;Anuncio_1;Buenos Aires, Argentina;
gustavorearte1;el presidente alberto fernandez tras reunirse con todos los gobernadores del pais se prepara para anunciar una cuarentena generalizada obligatorio comenzara desde las 0 del viernes 20 de marzo hasta el 31 de marzo inclusive cuarentenatotal coronavirus;2020-03-19 23:43:47+00:00;Anuncio_1;Buenos Aires, Argentina;Neutral
hclorenzo77;el hcd3f suspende todas sus actividades para evitar la propagacion del coronavirus podes ponerte en contacto x mail a secretariaparlamentariahcdtresdefebrerogovar quedateencasa somosresponsables alviruslofrenamosentretodos cuarentenatotal;2020-03-19 23:40:06+00:00;Anuncio_1;Buenos Aires, Argentina;
priscibenitez15;justo cuando se estaba acomodando un poco mi vida llega el corona virus y hay cuarentena total no amigo si tengo una suerte;2020-03-19 23:39:45+00:00;Anuncio_1;Buenos Aires, Argentina;
ferreyragerardo;en momentos dificiles pmuchos paises desarrollados debido al coronavirus es bueno recordar q en uno d los 2 paises q ayuda a los demas a evitar tantas muertescuba quien puso en marcha el plan d medicina familiar comunitariatan exitosofue un medico argentino ernesto guevara;2020-03-19 23:39:22+00:00;Anuncio_1;Buenos Aires, Argentina;
gustavorearte1;confirmaron 31 nuevos casos de coronavirus en la argentina cuarentenatotal coronavirusargentina coronavirus pandemiadelcoronavirus;2020-03-19 23:36:09+00:00;Anuncio_1;Buenos Aires, Argentina;Neutral
akakapa70;tauro y coronavirus un solo corazon;2020-03-19 23:35:58+00:00;Anuncio_1;Buenos Aires, Argentina;
dkobotero;el gobierno de argentina decreta oficialmente cuarentena obligatoria para todo el territorio nacional quedateentucasa coronavirus coronavirusargentina cuarentenatotal cuarentenaobligatoria pandemiadelcoronavirus;2020-03-19 23:35:00+00:00;Anuncio_1;Buenos Aires, Argentina;
CARUBRAVOSAYS;cuanto tiempo dura el virus en distintas superficies coronavirus en martinez buenos aires;2020-03-19 23:34:03+00:00;Anuncio_1;Buenos Aires, Argentina;
JuaaniLopeez;que ganas de que se mueran de corona virus todos los que estan yendo a pinamar gesell o cualquiera que se este cagando en la cuarentena;2020-03-19 23:32:54+00:00;Anuncio_1;Buenos Aires, Argentina;
andybursten;es un paso muy importante el reconocer que los argentinos somos transgresores ventajeros y egoistas por algo se empieza coronavirus yomequedoencasa;2020-03-19 23:30:11+00:00;Anuncio_1;Buenos Aires, Argentina;
Veronxveron;es para todos los que hablan de la dignidad cubana del impecable sistema de salud en cuba zurdos de cuarta que no hacen mas que mentirles a sus ciudadanos y vender una mentira al mundo cuarentenatotal coronavirus cuba miente fverdoia;2020-03-19 23:29:40+00:00;Anuncio_1;Buenos Aires, Argentina;
SegoviaNay;porque recien despues del coronavirus se empezaron a limpiar el culo y la compra masiva de jabon es porque los mugrosos antes no se lavaban las manos;2020-03-19 23:29:33+00:00;Anuncio_1;Buenos Aires, Argentina;
GabrielaAzar_;en media hora sumate desde tu casa al aplauso destinado a medicos y personal de salud que nos estan cuidando contra el coronavirus;2020-03-19 23:28:45+00:00;Anuncio_1;Buenos Aires, Argentina;
NtraLujan;solemnidad de san jose ultima misa y adoracion hasta que se termine la cuarentena por corona virus;2020-03-19 23:28:14+00:00;Anuncio_1;Buenos Aires, Argentina;
naucitoh;super tranqui la idea es exterminar de hambre a los que no mueran de coronavirus;2020-03-19 23:26:14+00:00;Anuncio_1;Buenos Aires, Argentina;
leofarias1977;cuidarnos entre todos y todas desde la campora en el marco de la pandemia del coronavirus covid19 decidimos suspender todas las actividades presenciales no esenciales conforme a lo dispuesto por el gobierno nacional en materia de distanciamiento social;2020-03-19 23:25:41+00:00;Anuncio_1;Buenos Aires, Argentina;
